Date;Sleep start;Sleep end;Quality;Sleep Time;Quality
12.03.2018;21:48;07:25;26.69;09:37;26.69
11.03.2018;22:05;06:58;13.51;08:53;13.51
10.03.2018;23:19;05:34;33.33;06:15;33.33
09.03.2018;23:11;05:37;23.32;06:26;23.32
08.03.2018;22:54;05:39;30.12;06:45;30.12
07.03.2018;23:29;05:39;21.62;06:10;21.62
06.03.2018;21:41;05:32;34.39;07:51;34.39
05.03.2018;22:44;05:50;27.46;07:06;27.46
03.03.2018;23:17;06:38;21.09;07:21;21.09
01.03.2018;21:50;05:29;33.55;07:39;33.55
28.02.2018;23:23;06:53;26.44;07:30;26.44
27.02.2018;23:18;05:30;25.81;06:12;25.81
26.02.2018;22:11;08:29;31.88;10:18;31.88
25.02.2018;22:42;07:46;37.5;09:04;37.5
24.02.2018;23:18;07:08;32.34;07:50;32.34
23.02.2018;23:25;07:44;41.28;08:19;41.28
22.02.2018;22:31;06:59;39.17;08:28;39.17
21.02.2018;23:35;05:30;45.07;05:55;45.07
20.02.2018;23:14;05:33;20.58;06:19;20.58
19.02.2018;01:20;08:03;7.65;06:43;7.65
18.02.2018;00:49;06:40;6.31;05:51;6.31
17.02.2018;22:51;06:45;30.8;07:54;30.8
16.02.2018;23:09;05:30;34.12;06:21;34.12
15.02.2018;23:10;05:30;27.37;06:20;27.37
14.02.2018;23:09;06:39;17.56;07:30;17.56
13.02.2018;22:54;05:29;22.03;06:35;22.03
12.02.2018;00:37;09:08;8.0;08:31;8.0
11.02.2018;23:33;08:54;22.82;09:21;22.82
10.02.2018;23:36;09:18;25.77;09:42;25.77
09.02.2018;23:08;08:51;18.87;09:43;18.87
08.02.2018;23:17;10:52;22.16;11:35;22.16
07.02.2018;23:10;08:35;23.89;09:25;23.89
06.02.2018;22:20;07:22;18.63;09:02;18.63
05.02.2018;23:35;09:07;22.38;09:32;22.38
04.02.2018;03:21;10:10;4.38;06:49;4.38
03.02.2018;23:10;08:33;21.49;09:23;21.49
02.02.2018;23:33;07:32;27.56;07:59;27.56
01.02.2018;22:34;08:11;27.38;09:37;27.38
31.01.2018;23:44;08:17;27.29;08:33;27.29
30.01.2018;23:02;07:42;34.81;08:40;34.81
29.01.2018;22:21;07:06;13.9;08:45;13.9
